ts,freeholdRacewayMallPower,freeholdRacewayMallSchOut,freeholdNJTemp,freeholdNJCondition
2019-05-10T07:00:00-04:00 New_York,190.53663635253906kW,false,62°F,cloudy
2019-05-10T07:15:00-04:00 New_York,203.5787811279297kW,false,62.5°F,cloudy
2019-05-10T07:30:00-04:00 New_York,205.00413513183594kW,false,63°F,cloudy
2019-05-10T07:45:00-04:00 New_York,223.9192352294922kW,false,63.5°F,cloudy
2019-05-10T08:00:00-04:00 New_York,250.0133819580078kW,false,64°F,cloudy
2019-05-10T08:15:00-04:00 New_York,306.8488464355469kW,false,64.5°F,cloudy
2019-05-10T08:30:00-04:00 New_York,450.4834289550781kW,false,65°F,cloudy
2019-05-10T08:45:00-04:00 New_York,645.7454223632812kW,false,65.5°F,cloudy
2019-05-10T09:00:00-04:00 New_York,789.0330200195312kW,false,66°F,cloudy
2019-05-10T09:15:00-04:00 New_York,833.0028686523438kW,false,66.75°F,cloudy
2019-05-10T09:30:00-04:00 New_York,832.3600463867188kW,false,67.5°F,cloudy
2019-05-10T09:45:00-04:00 New_York,981.7290649414062kW,false,68.25°F,cloudy
2019-05-10T10:00:00-04:00 New_York,1171.2197265625kW,true,69°F,cloudy
2019-05-10T10:15:00-04:00 New_York,1235.25341796875kW,true,69.5°F,cloudy
2019-05-10T10:30:00-04:00 New_York,1261.099853515625kW,true,70°F,cloudy
2019-05-10T10:45:00-04:00 New_York,1291.358642578125kW,true,70.5°F,cloudy
2019-05-10T11:00:00-04:00 New_York,1285.9921875kW,true,71°F,cloudy
2019-05-10T11:15:00-04:00 New_York,1331.2830810546875kW,true,71.5°F,cloudy
2019-05-10T11:30:00-04:00 New_York,1343.4071044921875kW,true,72°F,cloudy
2019-05-10T11:45:00-04:00 New_York,1293.8387451171875kW,true,72.5°F,cloudy
2019-05-10T12:00:00-04:00 New_York,1280.9534912109375kW,true,73°F,cloudy
2019-05-10T12:15:00-04:00 New_York,1295.5887451171875kW,true,73.5°F,cloudy
2019-05-10T12:30:00-04:00 New_York,1305.9749755859375kW,true,74°F,cloudy
2019-05-10T12:45:00-04:00 New_York,1386.329833984375kW,true,74.5°F,cloudy
2019-05-10T13:00:00-04:00 New_York,1319.114990234375kW,true,75°F,cloudy
2019-05-10T13:15:00-04:00 New_York,1311.027099609375kW,true,75.25°F,cloudy
2019-05-10T13:30:00-04:00 New_York,1333.3739013671875kW,true,75.5°F,cloudy
2019-05-10T13:45:00-04:00 New_York,1338.267333984375kW,true,75.75°F,cloudy
2019-05-10T14:00:00-04:00 New_York,1335.3299560546875kW,true,76°F,cloudy
2019-05-10T14:15:00-04:00 New_York,1362.0489501953125kW,true,76.25°F,cloudy
2019-05-10T14:30:00-04:00 New_York,1385.398193359375kW,true,76.5°F,cloudy
2019-05-10T14:45:00-04:00 New_York,1395.4571533203125kW,true,76.75°F,cloudy
2019-05-10T15:00:00-04:00 New_York,1396.8709716796875kW,true,77°F,cloudy
2019-05-10T15:15:00-04:00 New_York,1451.00634765625kW,true,74.75°F,cloudy
2019-05-10T15:30:00-04:00 New_York,1453.733642578125kW,true,72.5°F,cloudy
2019-05-10T15:45:00-04:00 New_York,1462.7255859375kW,true,70.25°F,cloudy
2019-05-10T16:00:00-04:00 New_York,1446.7735595703125kW,true,68°F,showers
2019-05-10T16:15:00-04:00 New_York,1449.39111328125kW,true,68.25°F,showers
2019-05-10T16:30:00-04:00 New_York,1489.62646484375kW,true,68.5°F,showers
2019-05-10T16:45:00-04:00 New_York,1509.6065673828125kW,true,68.75°F,showers
2019-05-10T17:00:00-04:00 New_York,1624.0228271484375kW,true,69°F,cloudy
2019-05-10T17:15:00-04:00 New_York,1649.123046875kW,true,69.25°F,cloudy
2019-05-10T17:30:00-04:00 New_York,1712.077880859375kW,true,69.5°F,cloudy
2019-05-10T17:45:00-04:00 New_York,1610.6802978515625kW,true,69.75°F,cloudy
2019-05-10T18:00:00-04:00 New_York,1632.6031494140625kW,true,70°F,cloudy
2019-05-10T18:15:00-04:00 New_York,1726.3626708984375kW,true,70°F,cloudy
2019-05-10T18:30:00-04:00 New_York,1813.3648681640625kW,true,70°F,cloudy
2019-05-10T18:45:00-04:00 New_York,1807.8717041015625kW,true,70°F,cloudy
2019-05-10T19:00:00-04:00 New_York,1829.3604736328125kW,true,70°F,cloudy
2019-05-10T19:15:00-04:00 New_York,1862.6119384765625kW,true,69.75°F,cloudy
2019-05-10T19:30:00-04:00 New_York,1849.33154296875kW,true,69.5°F,cloudy
2019-05-10T19:45:00-04:00 New_York,1830.42578125kW,true,69.25°F,cloudy
2019-05-10T20:00:00-04:00 New_York,1789.751220703125kW,true,69°F,partlyCloudy
2019-05-10T20:15:00-04:00 New_York,1771.159912109375kW,true,68.75°F,partlyCloudy
2019-05-10T20:30:00-04:00 New_York,1723.8404541015625kW,true,68.5°F,partlyCloudy
2019-05-10T20:45:00-04:00 New_York,1656.269775390625kW,true,68.25°F,partlyCloudy
2019-05-10T21:00:00-04:00 New_York,1548.098388671875kW,true,68°F,partlyCloudy
2019-05-10T21:15:00-04:00 New_York,1520.0582275390625kW,false,67.75°F,partlyCloudy
2019-05-10T21:30:00-04:00 New_York,1203.597412109375kW,false,67.5°F,partlyCloudy
2019-05-10T21:45:00-04:00 New_York,740.5591430664062kW,false,67.25°F,partlyCloudy
2019-05-10T22:00:00-04:00 New_York,625.3792724609375kW,false,67°F,partlyCloudy
2019-05-10T22:15:00-04:00 New_York,557.4278564453125kW,false,66.75°F,partlyCloudy
2019-05-10T22:30:00-04:00 New_York,516.6044921875kW,false,66.5°F,partlyCloudy
2019-05-10T22:45:00-04:00 New_York,483.4352111816406kW,false,66.25°F,partlyCloudy
2019-05-10T23:00:00-04:00 New_York,420.7085266113281kW,false,66°F,cloudy
2019-05-10T23:15:00-04:00 New_York,375.9068908691406kW,false,65.75°F,cloudy
2019-05-10T23:30:00-04:00 New_York,373.320068359375kW,false,65.5°F,cloudy
2019-05-10T23:45:00-04:00 New_York,336.12774658203125kW,false,65.25°F,cloudy
2019-05-11T00:00:00-04:00 New_York,311.1697082519531kW,false,65°F,cloudy
2019-05-11T00:15:00-04:00 New_York,317.3249816894531kW,false,64.5°F,cloudy
2019-05-11T00:30:00-04:00 New_York,307.4676208496094kW,false,64°F,cloudy
2019-05-11T00:45:00-04:00 New_York,290.7116394042969kW,false,63.5°F,cloudy
2019-05-11T01:00:00-04:00 New_York,294.949951171875kW,false,63°F,cloudy
2019-05-11T01:15:00-04:00 New_York,291.1556091308594kW,false,62.5°F,cloudy
2019-05-11T01:30:00-04:00 New_York,288.6344909667969kW,false,62°F,cloudy
2019-05-11T01:45:00-04:00 New_York,285.3336486816406kW,false,61.5°F,cloudy
2019-05-11T02:00:00-04:00 New_York,285.96826171875kW,false,61°F,partlyCloudy
2019-05-11T02:15:00-04:00 New_York,290.5009765625kW,false,60.5°F,partlyCloudy
2019-05-11T02:30:00-04:00 New_York,295.8310546875kW,false,60°F,partlyCloudy
2019-05-11T02:45:00-04:00 New_York,289.31427001953125kW,false,59.5°F,partlyCloudy
2019-05-11T03:00:00-04:00 New_York,280.83526611328125kW,false,59°F,partlyCloudy
2019-05-11T03:15:00-04:00 New_York,275.803466796875kW,false,58.75°F,partlyCloudy
2019-05-11T03:30:00-04:00 New_York,280.17889404296875kW,false,58.5°F,partlyCloudy
2019-05-11T03:45:00-04:00 New_York,267.0058288574219kW,false,58.25°F,partlyCloudy
2019-05-11T04:00:00-04:00 New_York,286.9217529296875kW,false,58°F,partlyCloudy
2019-05-11T04:15:00-04:00 New_York,270.34088134765625kW,false,57.75°F,partlyCloudy
2019-05-11T04:30:00-04:00 New_York,267.9305114746094kW,false,57.5°F,partlyCloudy
2019-05-11T04:45:00-04:00 New_York,264.2615051269531kW,false,57.25°F,partlyCloudy
2019-05-11T05:00:00-04:00 New_York,270.2172546386719kW,false,57°F,cloudy
2019-05-11T05:15:00-04:00 New_York,262.8009033203125kW,false,56.5°F,cloudy
2019-05-11T05:30:00-04:00 New_York,283.8363037109375kW,false,56°F,cloudy
2019-05-11T05:45:00-04:00 New_York,291.2564392089844kW,false,55.5°F,cloudy
2019-05-11T06:00:00-04:00 New_York,257.1242370605469kW,false,55°F,cloudy
2019-05-11T06:15:00-04:00 New_York,224.52560424804688kW,false,55°F,cloudy
2019-05-11T06:30:00-04:00 New_York,192.4629364013672kW,false,55°F,cloudy
2019-05-11T06:45:00-04:00 New_York,185.13172912597656kW,false,55°F,cloudy
2019-05-11T07:00:00-04:00 New_York,188.7929229736328kW,false,55°F,cloudy
2019-05-11T07:15:00-04:00 New_York,207.1940155029297kW,false,55°F,cloudy
2019-05-11T07:30:00-04:00 New_York,235.5750732421875kW,false,55°F,cloudy
2019-05-11T07:45:00-04:00 New_York,244.69732666015625kW,false,55°F,cloudy
2019-05-11T08:00:00-04:00 New_York,269.4359130859375kW,false,55°F,partlyCloudy
2019-05-11T08:15:00-04:00 New_York,318.0130310058594kW,false,55.25°F,partlyCloudy
2019-05-11T08:30:00-04:00 New_York,423.24481201171875kW,false,55.5°F,partlyCloudy
2019-05-11T08:45:00-04:00 New_York,566.4559936523438kW,false,55.75°F,partlyCloudy
2019-05-11T09:00:00-04:00 New_York,702.5722045898438kW,false,56°F,partlyCloudy
2019-05-11T09:15:00-04:00 New_York,748.0731201171875kW,false,56.25°F,partlyCloudy
2019-05-11T09:30:00-04:00 New_York,788.4732666015625kW,false,56.5°F,partlyCloudy
2019-05-11T09:45:00-04:00 New_York,924.9492797851562kW,false,56.75°F,partlyCloudy
2019-05-11T10:00:00-04:00 New_York,1134.2781982421875kW,true,57°F,partlyCloudy
2019-05-11T10:15:00-04:00 New_York,1190.50927734375kW,true,57.5°F,partlyCloudy
2019-05-11T10:30:00-04:00 New_York,1192.6962890625kW,true,58°F,partlyCloudy
2019-05-11T10:45:00-04:00 New_York,1206.7606201171875kW,true,58.5°F,partlyCloudy
2019-05-11T11:00:00-04:00 New_York,1234.2669677734375kW,true,59°F,partlyCloudy
2019-05-11T11:15:00-04:00 New_York,1247.0831298828125kW,true,59.5°F,partlyCloudy
2019-05-11T11:30:00-04:00 New_York,1264.3935546875kW,true,60°F,partlyCloudy
2019-05-11T11:45:00-04:00 New_York,1288.9932861328125kW,true,60.5°F,partlyCloudy
2019-05-11T12:00:00-04:00 New_York,1291.1484375kW,true,61°F,partlyCloudy
2019-05-11T12:15:00-04:00 New_York,1331.0526123046875kW,true,61.25°F,partlyCloudy
2019-05-11T12:30:00-04:00 New_York,1321.9735107421875kW,true,61.5°F,partlyCloudy
2019-05-11T12:45:00-04:00 New_York,1360.3792724609375kW,true,61.75°F,partlyCloudy
2019-05-11T13:00:00-04:00 New_York,1386.59814453125kW,true,62°F,partlyCloudy
2019-05-11T13:15:00-04:00 New_York,1385.578125kW,true,62.25°F,partlyCloudy
2019-05-11T13:30:00-04:00 New_York,1400.0894775390625kW,true,62.5°F,partlyCloudy
2019-05-11T13:45:00-04:00 New_York,1398.9896240234375kW,true,62.75°F,partlyCloudy
2019-05-11T14:00:00-04:00 New_York,1372.6439208984375kW,true,63°F,partlyCloudy
2019-05-11T14:15:00-04:00 New_York,1376.3328857421875kW,true,63.25°F,partlyCloudy
2019-05-11T14:30:00-04:00 New_York,1394.246826171875kW,true,63.5°F,partlyCloudy
2019-05-11T14:45:00-04:00 New_York,1391.6488037109375kW,true,63.75°F,partlyCloudy
2019-05-11T15:00:00-04:00 New_York,1408.432861328125kW,true,64°F,partlyCloudy
2019-05-11T15:15:00-04:00 New_York,1441.9671630859375kW,true,63.75°F,partlyCloudy
2019-05-11T15:30:00-04:00 New_York,1457.3447265625kW,true,63.5°F,partlyCloudy
2019-05-11T15:45:00-04:00 New_York,1405.4737548828125kW,true,63.25°F,partlyCloudy
2019-05-11T16:00:00-04:00 New_York,1412.610595703125kW,true,63°F,partlyCloudy
2019-05-11T16:15:00-04:00 New_York,1429.9906005859375kW,true,63.75°F,partlyCloudy
2019-05-11T16:30:00-04:00 New_York,1412.9501953125kW,true,64.5°F,partlyCloudy
2019-05-11T16:45:00-04:00 New_York,1445.1912841796875kW,true,65.25°F,partlyCloudy
2019-05-11T17:00:00-04:00 New_York,1477.964599609375kW,true,66°F,partlyCloudy
2019-05-11T17:15:00-04:00 New_York,1555.9080810546875kW,true,66°F,partlyCloudy
2019-05-11T17:30:00-04:00 New_York,1523.070556640625kW,true,66°F,partlyCloudy
2019-05-11T17:45:00-04:00 New_York,1521.7164306640625kW,true,66°F,partlyCloudy
2019-05-11T18:00:00-04:00 New_York,1583.0269775390625kW,true,66°F,partlyCloudy
2019-05-11T18:15:00-04:00 New_York,1537.7462158203125kW,true,65.5°F,partlyCloudy
2019-05-11T18:30:00-04:00 New_York,1550.7593994140625kW,true,65°F,partlyCloudy
2019-05-11T18:45:00-04:00 New_York,1551.3095703125kW,true,64.5°F,partlyCloudy
2019-05-11T19:00:00-04:00 New_York,1512.1817626953125kW,true,64°F,partlyCloudy
2019-05-11T19:15:00-04:00 New_York,1579.802978515625kW,true,63.5°F,partlyCloudy
2019-05-11T19:30:00-04:00 New_York,1623.3173828125kW,true,63°F,partlyCloudy
2019-05-11T19:45:00-04:00 New_York,1654.8330078125kW,true,62.5°F,partlyCloudy
2019-05-11T20:00:00-04:00 New_York,1641.5531005859375kW,true,62°F,partlyCloudy
2019-05-11T20:15:00-04:00 New_York,1666.5369873046875kW,true,61.5°F,partlyCloudy
2019-05-11T20:30:00-04:00 New_York,1603.0908203125kW,true,61°F,partlyCloudy
2019-05-11T20:45:00-04:00 New_York,1533.018310546875kW,true,60.5°F,partlyCloudy
2019-05-11T21:00:00-04:00 New_York,1395.311767578125kW,false,60°F,partlyCloudy
2019-05-11T21:15:00-04:00 New_York,1350.15966796875kW,false,60°F,partlyCloudy
2019-05-11T21:30:00-04:00 New_York,1088.6046142578125kW,false,60°F,partlyCloudy
2019-05-11T21:45:00-04:00 New_York,742.1622924804688kW,false,60°F,partlyCloudy
2019-05-11T22:00:00-04:00 New_York,614.25390625kW,false,60°F,partlyCloudy
2019-05-11T22:15:00-04:00 New_York,556.4602661132812kW,false,59.75°F,partlyCloudy
2019-05-11T22:30:00-04:00 New_York,513.4168701171875kW,false,59.5°F,partlyCloudy
2019-05-11T22:45:00-04:00 New_York,488.14691162109375kW,false,59.25°F,partlyCloudy
2019-05-11T23:00:00-04:00 New_York,411.65380859375kW,false,59°F,cloudy
2019-05-11T23:15:00-04:00 New_York,372.63604736328125kW,false,58.75°F,cloudy
2019-05-11T23:30:00-04:00 New_York,351.82830810546875kW,false,58.5°F,cloudy
2019-05-11T23:45:00-04:00 New_York,325.4842529296875kW,false,58.25°F,cloudy
2019-05-12T00:00:00-04:00 New_York,295.1341857910156kW,false,58°F,cloudy
2019-05-12T00:15:00-04:00 New_York,286.4786071777344kW,false,58°F,cloudy
2019-05-12T00:30:00-04:00 New_York,284.4206237792969kW,false,58°F,cloudy
2019-05-12T00:45:00-04:00 New_York,273.583984375kW,false,58°F,cloudy
2019-05-12T01:00:00-04:00 New_York,273.0457763671875kW,false,58°F,cloudy
2019-05-12T01:15:00-04:00 New_York,268.6133117675781kW,false,57.75°F,cloudy
2019-05-12T01:30:00-04:00 New_York,279.3539733886719kW,false,57.5°F,cloudy
2019-05-12T01:45:00-04:00 New_York,273.0177307128906kW,false,57.25°F,cloudy
2019-05-12T02:00:00-04:00 New_York,275.4410400390625kW,false,57°F,cloudy
2019-05-12T02:15:00-04:00 New_York,278.1122741699219kW,false,57°F,cloudy
2019-05-12T02:30:00-04:00 New_York,269.6486511230469kW,false,57°F,cloudy
2019-05-12T02:45:00-04:00 New_York,265.6743469238281kW,false,57°F,cloudy
2019-05-12T03:00:00-04:00 New_York,265.993408203125kW,false,57°F,cloudy
2019-05-12T03:15:00-04:00 New_York,271.1971435546875kW,false,56.75°F,cloudy
2019-05-12T03:30:00-04:00 New_York,280.4834899902344kW,false,56.5°F,cloudy
2019-05-12T03:45:00-04:00 New_York,261.1009521484375kW,false,56.25°F,cloudy
2019-05-12T04:00:00-04:00 New_York,267.2473449707031kW,false,56°F,cloudy
2019-05-12T04:15:00-04:00 New_York,265.22088623046875kW,false,55.75°F,cloudy
2019-05-12T04:30:00-04:00 New_York,250.192138671875kW,false,55.5°F,cloudy
2019-05-12T04:45:00-04:00 New_York,271.5993957519531kW,false,55.25°F,cloudy
2019-05-12T05:00:00-04:00 New_York,261.2897644042969kW,false,55°F,cloudy
2019-05-12T05:15:00-04:00 New_York,264.5813293457031kW,false,54.75°F,cloudy
2019-05-12T05:30:00-04:00 New_York,273.771728515625kW,false,54.5°F,cloudy
2019-05-12T05:45:00-04:00 New_York,268.4742126464844kW,false,54.25°F,cloudy
2019-05-12T06:00:00-04:00 New_York,263.9957580566406kW,false,54°F,cloudy
2019-05-12T06:15:00-04:00 New_York,269.4688415527344kW,false,53.75°F,cloudy
2019-05-12T06:30:00-04:00 New_York,250.01560974121094kW,false,53.5°F,cloudy
2019-05-12T06:45:00-04:00 New_York,241.51075744628906kW,false,53.25°F,cloudy
2019-05-12T07:00:00-04:00 New_York,251.87889099121094kW,false,53°F,cloudy
2019-05-12T07:15:00-04:00 New_York,233.6487274169922kW,false,52.5°F,cloudy
2019-05-12T07:30:00-04:00 New_York,245.35073852539062kW,false,52°F,cloudy
2019-05-12T07:45:00-04:00 New_York,222.7180633544922kW,false,51.5°F,cloudy
2019-05-12T08:00:00-04:00 New_York,320.66033935546875kW,false,51°F,rain
2019-05-12T08:15:00-04:00 New_York,445.2445373535156kW,false,50.75°F,rain
2019-05-12T08:30:00-04:00 New_York,459.4718017578125kW,false,50.5°F,rain
2019-05-12T08:45:00-04:00 New_York,404.59600830078125kW,false,50.25°F,rain
2019-05-12T09:00:00-04:00 New_York,439.4731140136719kW,false,50°F,rain
2019-05-12T09:15:00-04:00 New_York,481.53326416015625kW,false,50°F,rain
2019-05-12T09:30:00-04:00 New_York,460.51190185546875kW,false,50°F,rain
2019-05-12T09:45:00-04:00 New_York,477.4383544921875kW,false,50°F,rain
2019-05-12T10:00:00-04:00 New_York,531.1754760742188kW,false,50°F,rain
2019-05-12T10:15:00-04:00 New_York,581.2164916992188kW,false,50°F,rain
2019-05-12T10:30:00-04:00 New_York,654.9344482421875kW,false,50°F,rain
2019-05-12T10:45:00-04:00 New_York,804.1920166015625kW,false,50°F,rain
2019-05-12T11:00:00-04:00 New_York,956.4481201171875kW,true,50°F,cloudy
2019-05-12T11:15:00-04:00 New_York,1108.837890625kW,true,49.75°F,cloudy
2019-05-12T11:30:00-04:00 New_York,1112.8984375kW,true,49.5°F,cloudy
2019-05-12T11:45:00-04:00 New_York,1076.159912109375kW,true,49.25°F,cloudy
2019-05-12T12:00:00-04:00 New_York,1060.93994140625kW,true,49°F,cloudy
2019-05-12T12:15:00-04:00 New_York,1060.5643310546875kW,true,49.25°F,cloudy
2019-05-12T12:30:00-04:00 New_York,1019.3441772460938kW,true,49.5°F,cloudy
2019-05-12T12:45:00-04:00 New_York,1043.141357421875kW,true,49.75°F,cloudy
2019-05-12T13:00:00-04:00 New_York,1043.5792236328125kW,true,50°F,cloudy
2019-05-12T13:15:00-04:00 New_York,1083.6728515625kW,true,50.25°F,cloudy
2019-05-12T13:30:00-04:00 New_York,1100.7410888671875kW,true,50.5°F,cloudy
2019-05-12T13:45:00-04:00 New_York,1041.52392578125kW,true,50.75°F,cloudy
2019-05-12T14:00:00-04:00 New_York,1095.457275390625kW,true,51°F,cloudy
2019-05-12T14:15:00-04:00 New_York,1131.4326171875kW,true,51.25°F,cloudy
2019-05-12T14:30:00-04:00 New_York,1107.0296630859375kW,true,51.5°F,cloudy
2019-05-12T14:45:00-04:00 New_York,1080.02734375kW,true,51.75°F,cloudy
2019-05-12T15:00:00-04:00 New_York,1021.7498168945312kW,true,52°F,cloudy
2019-05-12T15:15:00-04:00 New_York,1062.7342529296875kW,true,51.5°F,cloudy
2019-05-12T15:30:00-04:00 New_York,1114.80517578125kW,true,51°F,cloudy
2019-05-12T15:45:00-04:00 New_York,1107.5406494140625kW,true,50.5°F,cloudy
2019-05-12T16:00:00-04:00 New_York,1084.1065673828125kW,true,50°F,showers
2019-05-12T16:15:00-04:00 New_York,1061.034912109375kW,true,50°F,showers
2019-05-12T16:30:00-04:00 New_York,1079.36572265625kW,true,50°F,showers
2019-05-12T16:45:00-04:00 New_York,1054.609130859375kW,true,50°F,showers
2019-05-12T17:00:00-04:00 New_York,1107.243896484375kW,true,50°F,cloudy
2019-05-12T17:15:00-04:00 New_York,1081.139892578125kW,true,49.75°F,cloudy
2019-05-12T17:30:00-04:00 New_York,1041.4775390625kW,true,49.5°F,cloudy
2019-05-12T17:45:00-04:00 New_York,1113.0511474609375kW,true,49.25°F,cloudy
2019-05-12T18:00:00-04:00 New_York,1004.7911376953125kW,true,49°F,cloudy
2019-05-12T18:15:00-04:00 New_York,959.4472045898438kW,true,48.5°F,cloudy
2019-05-12T18:30:00-04:00 New_York,902.0647583007812kW,true,48°F,cloudy
2019-05-12T18:45:00-04:00 New_York,863.1967163085938kW,true,47.5°F,cloudy
2019-05-12T19:00:00-04:00 New_York,742.8884887695312kW,true,47°F,cloudy
2019-05-12T19:15:00-04:00 New_York,625.497314453125kW,false,46.75°F,cloudy
2019-05-12T19:30:00-04:00 New_York,560.358154296875kW,false,46.5°F,cloudy
2019-05-12T19:45:00-04:00 New_York,534.5440063476562kW,false,46.25°F,cloudy
2019-05-12T20:00:00-04:00 New_York,484.4896545410156kW,false,46°F,showers
2019-05-12T20:15:00-04:00 New_York,470.73760986328125kW,false,45.75°F,showers
2019-05-12T20:30:00-04:00 New_York,450.8988342285156kW,false,45.5°F,showers
2019-05-12T20:45:00-04:00 New_York,447.600830078125kW,false,45.25°F,showers
2019-05-12T21:00:00-04:00 New_York,422.9001159667969kW,false,45°F,showers
2019-05-12T21:15:00-04:00 New_York,378.24822998046875kW,false,44.5°F,showers
2019-05-12T21:30:00-04:00 New_York,355.50091552734375kW,false,44°F,showers
2019-05-12T21:45:00-04:00 New_York,354.7603454589844kW,false,43.5°F,showers
2019-05-12T22:00:00-04:00 New_York,332.53765869140625kW,false,43°F,showers
2019-05-12T22:15:00-04:00 New_York,298.2705078125kW,false,42.75°F,showers
2019-05-12T22:30:00-04:00 New_York,286.8419494628906kW,false,42.5°F,showers
2019-05-12T22:45:00-04:00 New_York,288.7366027832031kW,false,42.25°F,showers
2019-05-12T23:00:00-04:00 New_York,263.4491882324219kW,false,42°F,rain
2019-05-12T23:15:00-04:00 New_York,270.23712158203125kW,false,41.75°F,rain
2019-05-12T23:30:00-04:00 New_York,261.6650085449219kW,false,41.5°F,rain
2019-05-12T23:45:00-04:00 New_York,272.1871337890625kW,false,41.25°F,rain
2019-05-13T00:00:00-04:00 New_York,270.0020751953125kW,false,41°F,rain
2019-05-13T00:15:00-04:00 New_York,259.0527648925781kW,false,41.5°F,rain
2019-05-13T00:30:00-04:00 New_York,256.2783508300781kW,false,42°F,rain
2019-05-13T00:45:00-04:00 New_York,255.3101806640625kW,false,42.5°F,rain
2019-05-13T01:00:00-04:00 New_York,259.360107421875kW,false,43°F,rain
2019-05-13T01:15:00-04:00 New_York,263.5736083984375kW,false,43.5°F,rain
2019-05-13T01:30:00-04:00 New_York,272.23150634765625kW,false,44°F,rain
2019-05-13T01:45:00-04:00 New_York,256.0010070800781kW,false,44.5°F,rain
2019-05-13T02:00:00-04:00 New_York,259.5674743652344kW,false,45°F,rain
2019-05-13T02:15:00-04:00 New_York,260.5252685546875kW,false,45.75°F,rain
2019-05-13T02:30:00-04:00 New_York,249.8053436279297kW,false,46.5°F,rain
2019-05-13T02:45:00-04:00 New_York,253.39974975585938kW,false,47.25°F,rain
2019-05-13T03:00:00-04:00 New_York,251.80313110351562kW,false,48°F,rain
2019-05-13T03:15:00-04:00 New_York,252.70608520507812kW,false,47.75°F,rain
2019-05-13T03:30:00-04:00 New_York,256.5887145996094kW,false,47.5°F,rain
2019-05-13T03:45:00-04:00 New_York,254.43360900878906kW,false,47.25°F,rain
2019-05-13T04:00:00-04:00 New_York,252.17559814453125kW,false,47°F,rain
2019-05-13T04:15:00-04:00 New_York,256.59088134765625kW,false,47°F,rain
2019-05-13T04:30:00-04:00 New_York,243.71128845214844kW,false,47°F,rain
2019-05-13T04:45:00-04:00 New_York,238.18173217773438kW,false,47°F,rain
2019-05-13T05:00:00-04:00 New_York,234.74542236328125kW,false,47°F,rain
2019-05-13T05:15:00-04:00 New_York,256.74169921875kW,false,47°F,rain
2019-05-13T05:30:00-04:00 New_York,260.4255065917969kW,false,47°F,rain
2019-05-13T05:45:00-04:00 New_York,275.3280029296875kW,false,47°F,rain
2019-05-13T06:00:00-04:00 New_York,261.98699951171875kW,false,47°F,rain
2019-05-13T06:15:00-04:00 New_York,245.3974151611328kW,false,47°F,rain
2019-05-13T06:30:00-04:00 New_York,246.67442321777344kW,false,47°F,rain
2019-05-13T06:45:00-04:00 New_York,230.35047912597656kW,false,47°F,rain
2019-05-13T07:00:00-04:00 New_York,259.9822692871094kW,false,47°F,rain
2019-05-13T07:15:00-04:00 New_York,230.40565490722656kW,false,47°F,rain
2019-05-13T07:30:00-04:00 New_York,248.88479614257812kW,false,47°F,rain
2019-05-13T07:45:00-04:00 New_York,243.5973663330078kW,false,47°F,rain
2019-05-13T08:00:00-04:00 New_York,240.531982421875kW,false,47°F,showers
2019-05-13T08:15:00-04:00 New_York,289.47137451171875kW,false,47.25°F,showers
2019-05-13T08:30:00-04:00 New_York,384.71270751953125kW,false,47.5°F,showers
2019-05-13T08:45:00-04:00 New_York,463.5243835449219kW,false,47.75°F,showers
2019-05-13T09:00:00-04:00 New_York,485.33026123046875kW,false,48°F,showers
2019-05-13T09:15:00-04:00 New_York,521.126708984375kW,false,48°F,showers
2019-05-13T09:30:00-04:00 New_York,550.7390747070312kW,false,48°F,showers
2019-05-13T09:45:00-04:00 New_York,697.4071655273438kW,false,48°F,showers
2019-05-13T10:00:00-04:00 New_York,924.925537109375kW,true,48°F,showers
2019-05-13T10:15:00-04:00 New_York,1013.724365234375kW,true,48°F,showers
2019-05-13T10:30:00-04:00 New_York,1042.0321044921875kW,true,48°F,showers
2019-05-13T10:45:00-04:00 New_York,990.35205078125kW,true,48°F,showers
2019-05-13T11:00:00-04:00 New_York,992.6095581054688kW,true,48°F,showers
2019-05-13T11:15:00-04:00 New_York,1036.862548828125kW,true,48.25°F,showers
2019-05-13T11:30:00-04:00 New_York,1046.46484375kW,true,48.5°F,showers
2019-05-13T11:45:00-04:00 New_York,995.0997924804688kW,true,48.75°F,showers
2019-05-13T12:00:00-04:00 New_York,1012.8247680664062kW,true,49°F,showers
2019-05-13T12:15:00-04:00 New_York,942.2503662109375kW,true,49°F,showers
2019-05-13T12:30:00-04:00 New_York,892.7281494140625kW,true,49°F,showers
2019-05-13T12:45:00-04:00 New_York,1056.156005859375kW,true,49°F,showers
2019-05-13T13:00:00-04:00 New_York,1121.932373046875kW,true,49°F,showers
2019-05-13T13:15:00-04:00 New_York,1107.7998046875kW,true,49°F,showers
2019-05-13T13:30:00-04:00 New_York,1116.7830810546875kW,true,49°F,showers
2019-05-13T13:45:00-04:00 New_York,1060.133056640625kW,true,49°F,showers
2019-05-13T14:00:00-04:00 New_York,1076.3524169921875kW,true,49°F,showers
2019-05-13T14:15:00-04:00 New_York,971.6026000976562kW,true,49°F,showers
2019-05-13T14:30:00-04:00 New_York,905.7548217773438kW,true,49°F,showers
2019-05-13T14:45:00-04:00 New_York,927.0155029296875kW,true,49°F,showers
2019-05-13T15:00:00-04:00 New_York,949.84619140625kW,true,49°F,showers
2019-05-13T15:15:00-04:00 New_York,966.4631958007812kW,true,49.25°F,showers
