ts,freeholdRacewayMallPower,freeholdRacewayMallSchOut,freeholdNJTemp,freeholdNJCondition
2019-06-27T08:00:00-04:00 New_York,366.8504638671875kW,false,76°F,partlyCloudy
2019-06-27T08:15:00-04:00 New_York,405.6114501953125kW,false,76.5°F,partlyCloudy
2019-06-27T08:30:00-04:00 New_York,648.5474243164062kW,false,77°F,partlyCloudy
2019-06-27T08:45:00-04:00 New_York,876.7891235351562kW,false,77.5°F,partlyCloudy
2019-06-27T09:00:00-04:00 New_York,1024.3187255859375kW,false,78°F,partlyCloudy
2019-06-27T09:15:00-04:00 New_York,1087.5830078125kW,false,78.5°F,partlyCloudy
2019-06-27T09:30:00-04:00 New_York,1313.6627197265625kW,false,79°F,partlyCloudy
2019-06-27T09:45:00-04:00 New_York,1228.0701904296875kW,false,79.5°F,partlyCloudy
2019-06-27T10:00:00-04:00 New_York,1534.3896484375kW,true,80°F,partlyCloudy
2019-06-27T10:15:00-04:00 New_York,1660.2642822265625kW,true,80.5°F,partlyCloudy
2019-06-27T10:30:00-04:00 New_York,1675.6495361328125kW,true,81°F,partlyCloudy
2019-06-27T10:45:00-04:00 New_York,1699.8046875kW,true,81.5°F,partlyCloudy
2019-06-27T11:00:00-04:00 New_York,1730.2362060546875kW,true,82°F,partlyCloudy
2019-06-27T11:15:00-04:00 New_York,1728.8291015625kW,true,82.5°F,partlyCloudy
2019-06-27T11:30:00-04:00 New_York,1738.659912109375kW,true,83°F,partlyCloudy
2019-06-27T11:45:00-04:00 New_York,1727.2744140625kW,true,83.5°F,partlyCloudy
2019-06-27T12:00:00-04:00 New_York,1712.7913818359375kW,true,84°F,partlyCloudy
2019-06-27T12:15:00-04:00 New_York,1788.64208984375kW,true,84.25°F,partlyCloudy
2019-06-27T12:30:00-04:00 New_York,1754.1234130859375kW,true,84.5°F,partlyCloudy
2019-06-27T12:45:00-04:00 New_York,1754.8753662109375kW,true,84.75°F,partlyCloudy
2019-06-27T13:00:00-04:00 New_York,1726.5989990234375kW,true,85°F,partlyCloudy
2019-06-27T13:15:00-04:00 New_York,1709.998779296875kW,true,85°F,partlyCloudy
2019-06-27T13:30:00-04:00 New_York,1719.5643310546875kW,true,85°F,partlyCloudy
2019-06-27T13:45:00-04:00 New_York,1711.9471435546875kW,true,85°F,partlyCloudy
2019-06-27T14:00:00-04:00 New_York,1699.3736572265625kW,true,85°F,partlyCloudy
2019-06-27T14:15:00-04:00 New_York,1732.259765625kW,true,85.25°F,partlyCloudy
2019-06-27T14:30:00-04:00 New_York,1715.1346435546875kW,true,85.5°F,partlyCloudy
2019-06-27T14:45:00-04:00 New_York,1684.3106689453125kW,true,85.75°F,partlyCloudy
2019-06-27T15:00:00-04:00 New_York,1729.201416015625kW,true,86°F,partlyCloudy
2019-06-27T15:15:00-04:00 New_York,1734.2650146484375kW,true,85.75°F,partlyCloudy
2019-06-27T15:30:00-04:00 New_York,1717.58935546875kW,true,85.5°F,partlyCloudy
2019-06-27T15:45:00-04:00 New_York,1691.3695068359375kW,true,85.25°F,partlyCloudy
2019-06-27T16:00:00-04:00 New_York,1664.602783203125kW,true,85°F,partlyCloudy
2019-06-27T16:15:00-04:00 New_York,1718.9228515625kW,true,84.75°F,partlyCloudy
2019-06-27T16:30:00-04:00 New_York,1688.03466796875kW,true,84.5°F,partlyCloudy
2019-06-27T16:45:00-04:00 New_York,1703.45556640625kW,true,84.25°F,partlyCloudy
2019-06-27T17:00:00-04:00 New_York,1744.14697265625kW,true,84°F,partlyCloudy
2019-06-27T17:15:00-04:00 New_York,1767.672119140625kW,true,83.75°F,partlyCloudy
2019-06-27T17:30:00-04:00 New_York,1714.785400390625kW,true,83.5°F,partlyCloudy
2019-06-27T17:45:00-04:00 New_York,1875.921630859375kW,true,83.25°F,partlyCloudy
2019-06-27T18:00:00-04:00 New_York,1774.4962158203125kW,true,83°F,partlyCloudy
2019-06-27T18:15:00-04:00 New_York,1937.836181640625kW,true,82.5°F,partlyCloudy
2019-06-27T18:30:00-04:00 New_York,1832.306396484375kW,true,82°F,partlyCloudy
2019-06-27T18:45:00-04:00 New_York,1980.6854248046875kW,true,81.5°F,partlyCloudy
2019-06-27T19:00:00-04:00 New_York,1982.889404296875kW,true,81°F,partlyCloudy
2019-06-27T19:15:00-04:00 New_York,1983.02587890625kW,true,80.5°F,partlyCloudy
2019-06-27T19:30:00-04:00 New_York,2032.822998046875kW,true,80°F,partlyCloudy
2019-06-27T19:45:00-04:00 New_York,2006.8203125kW,true,79.5°F,partlyCloudy
2019-06-27T20:00:00-04:00 New_York,1973.7142333984375kW,true,79°F,partlyCloudy
2019-06-27T20:15:00-04:00 New_York,2013.51416015625kW,true,78.5°F,partlyCloudy
2019-06-27T20:30:00-04:00 New_York,2022.029296875kW,true,78°F,partlyCloudy
2019-06-27T20:45:00-04:00 New_York,1886.1072998046875kW,true,77.5°F,partlyCloudy
2019-06-27T21:00:00-04:00 New_York,1722.169677734375kW,true,77°F,partlyCloudy
2019-06-27T21:15:00-04:00 New_York,1656.323974609375kW,false,76.75°F,partlyCloudy
2019-06-27T21:30:00-04:00 New_York,1220.57080078125kW,false,76.5°F,partlyCloudy
2019-06-27T21:45:00-04:00 New_York,756.5528564453125kW,false,76.25°F,partlyCloudy
2019-06-27T22:00:00-04:00 New_York,617.2599487304688kW,false,76°F,partlyCloudy
2019-06-27T22:15:00-04:00 New_York,573.5408935546875kW,false,75.5°F,partlyCloudy
2019-06-27T22:30:00-04:00 New_York,513.037841796875kW,false,75°F,partlyCloudy
2019-06-27T22:45:00-04:00 New_York,474.49755859375kW,false,74.5°F,partlyCloudy
2019-06-27T23:00:00-04:00 New_York,403.1163024902344kW,false,74°F,partlyCloudy
2019-06-27T23:15:00-04:00 New_York,377.3108215332031kW,false,73.75°F,partlyCloudy
2019-06-27T23:30:00-04:00 New_York,364.1141052246094kW,false,73.5°F,partlyCloudy
2019-06-27T23:45:00-04:00 New_York,353.1744079589844kW,false,73.25°F,partlyCloudy
2019-06-28T00:00:00-04:00 New_York,334.185791015625kW,false,73°F,partlyCloudy
2019-06-28T00:15:00-04:00 New_York,329.80157470703125kW,false,73°F,partlyCloudy
2019-06-28T00:30:00-04:00 New_York,333.58477783203125kW,false,73°F,partlyCloudy
2019-06-28T00:45:00-04:00 New_York,310.9908447265625kW,false,73°F,partlyCloudy
2019-06-28T01:00:00-04:00 New_York,312.589599609375kW,false,73°F,partlyCloudy
2019-06-28T01:15:00-04:00 New_York,309.165771484375kW,false,72.75°F,partlyCloudy
2019-06-28T01:30:00-04:00 New_York,321.15533447265625kW,false,72.5°F,partlyCloudy
2019-06-28T01:45:00-04:00 New_York,314.8291015625kW,false,72.25°F,partlyCloudy
2019-06-28T02:00:00-04:00 New_York,295.45709228515625kW,false,72°F,partlyCloudy
2019-06-28T02:15:00-04:00 New_York,326.6936950683594kW,false,72°F,partlyCloudy
2019-06-28T02:30:00-04:00 New_York,293.3758850097656kW,false,72°F,partlyCloudy
2019-06-28T02:45:00-04:00 New_York,299.7236022949219kW,false,72°F,partlyCloudy
2019-06-28T03:00:00-04:00 New_York,294.395751953125kW,false,72°F,partlyCloudy
2019-06-28T03:15:00-04:00 New_York,290.00732421875kW,false,72.25°F,partlyCloudy
2019-06-28T03:30:00-04:00 New_York,287.4371337890625kW,false,72.5°F,partlyCloudy
2019-06-28T03:45:00-04:00 New_York,276.4537048339844kW,false,72.75°F,partlyCloudy
2019-06-28T04:00:00-04:00 New_York,281.2810974121094kW,false,73°F,partlyCloudy
2019-06-28T04:15:00-04:00 New_York,277.4220886230469kW,false,73°F,partlyCloudy
2019-06-28T04:30:00-04:00 New_York,273.64447021484375kW,false,73°F,partlyCloudy
2019-06-28T04:45:00-04:00 New_York,289.2776794433594kW,false,73°F,partlyCloudy
2019-06-28T05:00:00-04:00 New_York,270.7989807128906kW,false,73°F,partlyCloudy
2019-06-28T05:15:00-04:00 New_York,276.5097351074219kW,false,73.25°F,partlyCloudy
2019-06-28T05:30:00-04:00 New_York,301.31695556640625kW,false,73.5°F,partlyCloudy
2019-06-28T05:45:00-04:00 New_York,272.8176574707031kW,false,73.75°F,partlyCloudy
2019-06-28T06:00:00-04:00 New_York,241.8340606689453kW,false,74°F,partlyCloudy
2019-06-28T06:15:00-04:00 New_York,244.9932403564453kW,false,74.5°F,partlyCloudy
2019-06-28T06:30:00-04:00 New_York,225.87440490722656kW,false,75°F,partlyCloudy
2019-06-28T06:45:00-04:00 New_York,244.17535400390625kW,false,75.5°F,partlyCloudy
2019-06-28T07:00:00-04:00 New_York,253.07029724121094kW,false,76°F,partlyCloudy
2019-06-28T07:15:00-04:00 New_York,263.3873291015625kW,false,76.5°F,partlyCloudy
2019-06-28T07:30:00-04:00 New_York,284.82525634765625kW,false,77°F,partlyCloudy
2019-06-28T07:45:00-04:00 New_York,280.74041748046875kW,false,77.5°F,partlyCloudy
2019-06-28T08:00:00-04:00 New_York,309.7733459472656kW,false,78°F,partlyCloudy
2019-06-28T08:15:00-04:00 New_York,384.7699279785156kW,false,78.5°F,partlyCloudy
2019-06-28T08:30:00-04:00 New_York,658.6702270507812kW,false,79°F,partlyCloudy
2019-06-28T08:45:00-04:00 New_York,868.3734130859375kW,false,79.5°F,partlyCloudy
2019-06-28T09:00:00-04:00 New_York,987.8074340820312kW,false,80°F,partlyCloudy
2019-06-28T09:15:00-04:00 New_York,1031.8818359375kW,false,80.5°F,partlyCloudy
2019-06-28T09:30:00-04:00 New_York,1102.4246826171875kW,false,81°F,partlyCloudy
2019-06-28T09:45:00-04:00 New_York,1301.3837890625kW,false,81.5°F,partlyCloudy
2019-06-28T10:00:00-04:00 New_York,1590.81005859375kW,true,82°F,partlyCloudy
2019-06-28T10:15:00-04:00 New_York,1685.9488525390625kW,true,82.5°F,partlyCloudy
2019-06-28T10:30:00-04:00 New_York,1632.7608642578125kW,true,83°F,partlyCloudy
2019-06-28T10:45:00-04:00 New_York,1683.510986328125kW,true,83.5°F,partlyCloudy
2019-06-28T11:00:00-04:00 New_York,1705.8868408203125kW,true,84°F,partlyCloudy
2019-06-28T11:15:00-04:00 New_York,1726.1990966796875kW,true,84.25°F,partlyCloudy
2019-06-28T11:30:00-04:00 New_York,1755.76708984375kW,true,84.5°F,partlyCloudy
2019-06-28T11:45:00-04:00 New_York,1766.627197265625kW,true,84.75°F,partlyCloudy
2019-06-28T12:00:00-04:00 New_York,1757.9010009765625kW,true,85°F,partlyCloudy
2019-06-28T12:15:00-04:00 New_York,1749.6741943359375kW,true,85.25°F,partlyCloudy
2019-06-28T12:30:00-04:00 New_York,1733.2149658203125kW,true,85.5°F,partlyCloudy
2019-06-28T12:45:00-04:00 New_York,1731.830078125kW,true,85.75°F,partlyCloudy
2019-06-28T13:00:00-04:00 New_York,1751.31787109375kW,true,86°F,partlyCloudy
2019-06-28T13:15:00-04:00 New_York,1777.8328857421875kW,true,86.25°F,partlyCloudy
2019-06-28T13:30:00-04:00 New_York,1792.2200927734375kW,true,86.5°F,partlyCloudy
2019-06-28T13:45:00-04:00 New_York,1786.2987060546875kW,true,86.75°F,partlyCloudy
2019-06-28T14:00:00-04:00 New_York,1829.9266357421875kW,true,87°F,partlyCloudy
2019-06-28T14:15:00-04:00 New_York,1824.361572265625kW,true,87.25°F,partlyCloudy
2019-06-28T14:30:00-04:00 New_York,1796.1199951171875kW,true,87.5°F,partlyCloudy
2019-06-28T14:45:00-04:00 New_York,1801.272216796875kW,true,87.75°F,partlyCloudy
2019-06-28T15:00:00-04:00 New_York,1788.553955078125kW,true,88°F,partlyCloudy
2019-06-28T15:15:00-04:00 New_York,1793.0257568359375kW,true,87°F,partlyCloudy
2019-06-28T15:30:00-04:00 New_York,1786.3145751953125kW,true,86°F,partlyCloudy
2019-06-28T15:45:00-04:00 New_York,1796.540283203125kW,true,85°F,partlyCloudy
2019-06-28T16:00:00-04:00 New_York,1766.216064453125kW,true,84°F,partlyCloudy
2019-06-28T16:15:00-04:00 New_York,1759.8203125kW,true,83.25°F,partlyCloudy
2019-06-28T16:30:00-04:00 New_York,1794.9124755859375kW,true,82.5°F,partlyCloudy
2019-06-28T16:45:00-04:00 New_York,1796.9837646484375kW,true,81.75°F,partlyCloudy
2019-06-28T17:00:00-04:00 New_York,1782.2904052734375kW,true,81°F,showers
2019-06-28T17:15:00-04:00 New_York,1757.5369873046875kW,true,80.25°F,showers
2019-06-28T17:30:00-04:00 New_York,1756.8184814453125kW,true,79.5°F,showers
2019-06-28T17:45:00-04:00 New_York,1806.2586669921875kW,true,78.75°F,showers
2019-06-28T18:00:00-04:00 New_York,1905.2032470703125kW,true,78°F,showers
2019-06-28T18:15:00-04:00 New_York,1953.0635986328125kW,true,77.5°F,showers
2019-06-28T18:30:00-04:00 New_York,2087.720947265625kW,true,77°F,showers
2019-06-28T18:45:00-04:00 New_York,2037.4443359375kW,true,76.5°F,showers
2019-06-28T19:00:00-04:00 New_York,2025.273681640625kW,true,76°F,showers
2019-06-28T19:15:00-04:00 New_York,2042.4854736328125kW,true,75.5°F,showers
2019-06-28T19:30:00-04:00 New_York,2046.5670166015625kW,true,75°F,showers
2019-06-28T19:45:00-04:00 New_York,2051.1337890625kW,true,74.5°F,showers
2019-06-28T20:00:00-04:00 New_York,2061.34619140625kW,true,74°F,showers
2019-06-28T20:15:00-04:00 New_York,2107.71435546875kW,true,73.5°F,showers
2019-06-28T20:30:00-04:00 New_York,1988.1868896484375kW,true,73°F,showers
2019-06-28T20:45:00-04:00 New_York,1761.1732177734375kW,true,72.5°F,showers
2019-06-28T21:00:00-04:00 New_York,1643.1610107421875kW,false,72°F,showers
2019-06-28T21:15:00-04:00 New_York,1609.5135498046875kW,false,72°F,showers
2019-06-28T21:30:00-04:00 New_York,1085.181640625kW,false,72°F,showers
2019-06-28T21:45:00-04:00 New_York,722.9812622070312kW,false,72°F,showers
2019-06-28T22:00:00-04:00 New_York,600.4136352539062kW,false,72°F,showers
2019-06-28T22:15:00-04:00 New_York,573.805419921875kW,false,71.75°F,showers
2019-06-28T22:30:00-04:00 New_York,524.9022827148438kW,false,71.5°F,showers
2019-06-28T22:45:00-04:00 New_York,491.489013671875kW,false,71.25°F,showers
2019-06-28T23:00:00-04:00 New_York,428.43206787109375kW,false,71°F,showers
2019-06-28T23:15:00-04:00 New_York,374.7864990234375kW,false,71°F,showers
2019-06-28T23:30:00-04:00 New_York,340.9576416015625kW,false,71°F,showers
2019-06-28T23:45:00-04:00 New_York,349.63397216796875kW,false,71°F,showers
2019-06-29T00:00:00-04:00 New_York,338.8860778808594kW,false,71°F,showers
2019-06-29T00:15:00-04:00 New_York,316.240234375kW,false,71°F,showers
2019-06-29T00:30:00-04:00 New_York,322.04925537109375kW,false,71°F,showers
2019-06-29T00:45:00-04:00 New_York,319.0063171386719kW,false,71°F,showers
2019-06-29T01:00:00-04:00 New_York,300.070068359375kW,false,71°F,showers
2019-06-29T01:15:00-04:00 New_York,311.6506652832031kW,false,70.75°F,showers
2019-06-29T01:30:00-04:00 New_York,314.42059326171875kW,false,70.5°F,showers
2019-06-29T01:45:00-04:00 New_York,306.14703369140625kW,false,70.25°F,showers
